StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q389_Browser,Q389_Version,Q389_Operating System,Q389_Resolution,Consent timing_First Click,Consent timing_Last Click,Consent timing_Page Submit,Consent timing_Click Count,Consent,prolific_id,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q118_First Click,Q118_Last Click,Q118_Page Submit,Q118_Click Count,Q110,Q160,Q163,Q165,Q178,Q164,Q179,Q199_1,Q199_2,Q199_3,Q199_4,Q199_5,Q199_6,Q608_First Click,Q608_Last Click,Q608_Page Submit,Q608_Click Count,Q609,Tutorial,Q613,Q653_First Click,Q653_Last Click,Q653_Page Submit,Q653_Click Count,Q192_First Click,Q192_Last Click,Q192_Page Submit,Q192_Click Count,Q657,Q614_First Click,Q614_Last Click,Q614_Page Submit,Q614_Click Count,Q615,Q193_First Click,Q193_Last Click,Q193_Page Submit,Q193_Click Count,Q171,Q593_First Click,Q593_Last Click,Q593_Page Submit,Q593_Click Count,Q594,Q175,Q197_First Click,Q197_Last Click,Q197_Page Submit,Q197_Click Count,Q196,Demographics timing_First Click,Demographics timing_Last Click,Demographics timing_Page Submit,Demographics timing_Click Count,age,gender,country,country_3_TEXT,education,education_6_TEXT,ai,AI_1,AI_2,AI_3,AI_4,AI_5,comments,Q261,Random_ID,AWSURL,group,ProlificID,agent_level,bonus_group
2025-09-10 06:41:59,2025-09-10 07:05:34,IP Address,37.60.83.106,100,1414,True,2025-09-10 07:05:34,R_8KZcwoXh9TS81Rj,,,,,52.0443,-0.7601,anonymous,EN,Chrome,139.0.0.0,Macintosh,1440x900,5.745,5.745,7.482,1,I confirm my participation in the study,5bce39ceb8bc680001c67555,12.694,12.694,63.518,1,0,0,21.186,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,24.406,359.79,362.634,2,,4242,,,,,,,,,,,0,0,44.708,0,,3.228,585.397,587.565,2,APPL7,8.804,10.306,21.162,2,I will play myself,I trust my judgement better,3.4,46.066,48.455,2,2323,2.21,25.244,26.414,10,29,F,United Kingdom,,Master level academic education,,"Very familiar (frequent user or hobbyist, e.g., building AI models or applications)",5,5,7. Strongly agree,5,6,,,5415773741,,3,5bce39ceb8bc680001c67555,APPL7,2323
2025-09-10 06:45:01,2025-09-10 07:06:42,IP Address,51.190.58.160,100,1301,True,2025-09-10 07:06:42,R_2obbZDNO1iWNsCx,,,,,53.373,-3.1013,anonymous,EN,Chrome,139.0.0.0,CrOS x86_64 14541.0.0,1366x768,22.413,23.824,27.478,2,I confirm my participation in the study,5ebc0abd2cc5f1054c82a0d7,0,0,74.598,0,1.377,1.377,11.662,1,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,19.871,317.848,321.218,4,,4242,,,,,,,,,,,0,0,48.659,0,,4.18,418.267,422.949,3,APPL2,15.832,20.7,84.267,3,I will let the AI agent play,"it made some good moves i think its learnt well,it started to go the best routes",,,,,,2.27,54.605,57.318,17,43,M,United Kingdom,,8-12 years,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",7. Strongly agree,7. Strongly agree,7. Strongly agree,1. Strongly disagree,7. Strongly agree,,,5772969523,,2,5ebc0abd2cc5f1054c82a0d7,APPL2,APPL2
2025-09-10 06:51:17,2025-09-10 07:07:23,IP Address,99.233.6.225,100,965,True,2025-09-10 07:07:23,R_6Vfp01SJoRLf4BQ,,,,,43.5903,-79.7598,anonymous,EN,Firefox,142.0,Windows NT 10.0,1920x1080,1.306,1.306,2.361,1,I confirm my participation in the study,56ebadebcdfa81000d9e2b67,0,0,2.893,0,0,0,1.283,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,28.26,222.121,225.616,2,,4242,,0,0,41.992,0,2.739,458.848,462.786,2,APPL2,,,,,,,,,,,16.48,46.976,56.214,3,I will play myself,I don't trust the AI agent's ability and judgement,2.474,50.152,52.862,2,2323,1.15,42.781,44.701,11,35,F,Canada,,Bachelor level academic education,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",5,5,7. Strongly agree,3,5,,,6387492802,,0,56ebadebcdfa81000d9e2b67,APPL2,2323
2025-09-10 06:45:59,2025-09-10 07:18:03,IP Address,86.7.225.91,100,1923,True,2025-09-10 07:18:04,R_84u70Dg2VFjA4Ou,,,,,51.5507,-0.0537,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,33.112,33.112,34.053,1,I confirm my participation in the study,5c2ebf3e626018000134986f,49.544,97.108,142.724,6,0,0,42.891,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,56.931,699.693,706.569,6,,4242,,,,,,,,,,,3.065,54.644,72.391,7,,7.526,485.083,488.951,2,APPL2,2.635,20.203,104.065,5,I will let the AI agent play,I think the AI is about as good as me performance. I'd also rather it does the work,,,,,,1.681,31.355,33.928,13,43,M,United Kingdom,,Bachelor level academic education,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",7. Strongly agree,7. Strongly agree,7. Strongly agree,5,5,"I understood the game but I found the AI training interface was confusing to use ",,1594258201,,1,5c2ebf3e626018000134986f,APPL2,APPL2
2025-09-10 06:43:41,2025-09-10 07:18:38,IP Address,148.252.156.253,100,2097,True,2025-09-10 07:18:39,R_8lJH120h3QZaQkC,,,,,51.4964,-0.1224,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1536x864,15.455,22.569,25.803,4,I confirm my participation in the study,5c81582c4c1a61000155584f,1.185,105.308,106.597,15,2.152,30.325,32.287,7,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,12.033,355.495,358.812,9,,4242,,,,,,,,,,,1.935,77.468,79.16,13,,7.826,1010.887,1014.565,3,APPL2,16.903,19.749,28.822,3,I will play myself,i think that i am more competent,2.704,94.594,101.427,2,2323,1.889,43.632,45.26,18,49,M,United Kingdom,,8-12 years,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",4. Neither agree nor disagree,4. Neither agree nor disagree,5,1. Strongly disagree,6,,,6480574797,,2,5c81582c4c1a61000155584f,APPL2,2323
2025-09-10 06:42:58,2025-09-10 07:24:56,IP Address,90.203.249.167,100,2517,True,2025-09-10 07:24:57,R_8rw1givfdoXTFEY,,,,,51.5708,-0.1033,anonymous,EN,Chrome,140.0.0.0,Windows NT 10.0,1536x864,317.949,317.949,318.614,1,I confirm my participation in the study,5aff33bae55f90000139f664,0,0,52.498000000000005,0,109.836,115.53399999999999,116.51699999999998,5,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Agree,Agree,Agree,Agree,Agree,Agree,996.911,1068.261,1070.446,2,,4242,,,,,,,,,,,235.201,235.201,235.581,1,,8.164,420.761,421.001,3,APPL7,14.579,15.583,28.901,2,I will play myself,I believe I can perform better than the agent,3.684,44.382,53.293,2,2323,1.184,20.936,22.026,11,38,M,United Kingdom,,"PhD, MD, or other doctoral degree",,"Slightly familiar (basic awareness, e.g., from news or media)",4. Neither agree nor disagree,4. Neither agree nor disagree,4. Neither agree nor disagree,4. Neither agree nor disagree,4. Neither agree nor disagree,Everything worked well in the study. Thank you!,,9748141932,,1,5aff33bae55f90000139f664,APPL7,2323
2025-09-10 06:46:25,2025-09-10 07:35:36,IP Address,109.146.234.21,100,2950,True,2025-09-10 07:35:36,R_8z0skjm8PyCoGQN,,,,,51.477,-0.1959,anonymous,EN,Chrome,139.0.0.0,Macintosh,1920x1080,11.726,11.726,13.408,1,I confirm my participation in the study,5ea9a6a68db51d0dfd2edfe2,0,0,84.52,0,0,0,31.169,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,25.643,1457.808,1461.671,2,,4242,,,,,,,,,,,0,0,48.236,0,,2.717,853.116,854.984,2,APPL7,7.385,8.655,38.037,2,I will play myself,"The trained agent makes rookie mistakes, and I am confident I can achieve a far better score and make fewer mistakes.",1.677,61.633,63.719,2,2323,1.088,77.174,80.581,23,35,M,United Kingdom,,Bachelor level academic education,,"Slightly familiar (basic awareness, e.g., from news or media)",6,4. Neither agree nor disagree,6,5,6,"Planning an updated route was difficult, because the path was not updated in the main screen, meaning you had to visualise the path in your head. Otherwise, all went well.",,8717490973,,3,5ea9a6a68db51d0dfd2edfe2,APPL7,2323
2025-09-10 06:40:49,2025-09-10 06:41:04,IP Address,77.137.66.31,6,15,False,2025-09-10 07:40:53,R_4lgawiXCV9Jor0M,,,,,32.8259,34.9968,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,9.535,9.535,10.254,1,I confirm my participation in the study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9911445596,,0,,,
2025-09-10 06:42:05,2025-09-10 06:46:48,IP Address,99.233.6.225,37,283,False,2025-09-10 07:42:06,R_3LAPuTiLiZMQSeP,,,,,43.5903,-79.7598,anonymous,EN,Chrome,140,Macintosh,414x896,0.815,1.868,2.774,2,I confirm my participation in the study,56ebadebcdfa81000d9e2b67,5.423,106.316,107.421,11,26.573,26.573,28.229,1,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3610764189,,0,56ebadebcdfa81000d9e2b67,,
2025-09-10 07:35:41,2025-09-10 07:52:48,IP Address,217.161.88.76,100,1026,True,2025-09-10 07:52:49,R_2X4mj7OwQn3CxFp,,,,,51.4964,-0.1224,anonymous,EN,Chrome,140.0.0.0,Windows NT 10.0,1920x1080,1.929,1.929,2.871,1,I confirm my participation in the study,67606cca6591f7023be55e8e,0,0,75.4,0,0,0,23.201,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,20.661,161.26,163.681,2,,4242,,,,,,,,,,,0,0,35.258,0,,3.278,376.322,378.766,3,APPL5,10.22,11.723,27.83,2,I will play myself,the agent is not always making the best moves.,1.873,78.935,81.706,2,2323,1.462,38.221,39.257,13,45,M,United Kingdom,,8-12 years,,"Very familiar (frequent user or hobbyist, e.g., building AI models or applications)",5,6,6,7. Strongly agree,4. Neither agree nor disagree,,,8671029992,,3,67606cca6591f7023be55e8e,APPL5,2323
2025-09-10 07:18:01,2025-09-10 07:29:38,IP Address,174.95.27.83,65,696,False,2025-09-10 08:18:06,R_1lxIYWxdUA0yHul,,,,,43.7806,-79.3503,anonymous,EN,Chrome,140.0.0.0,Windows NT 10.0,1920x1080,2.296,2.296,3.075,1,I confirm my participation in the study,67b5c6ec6311c086aa61cd96,0,0,236.69,0,0,0,3.818,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,10.713,176.599,180.87,5,,4242,,,,,,,,,,,5.389,19.826,35.435,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5893441096,,1,67b5c6ec6311c086aa61cd96,,
2025-09-10 07:42:16,2025-09-10 08:24:07,IP Address,51.190.217.214,100,2510,True,2025-09-10 08:24:08,R_2Lv8vugMBgDoq9b,,,,,51.5327,-0.0996,anonymous,EN,Chrome,140.0.0.0,Windows NT 10.0,1824x1216,16.517,16.517,17.957,1,I confirm my participation in the study,631610af8e747093cd90e00d,245.378,262.661,264.109,5,7.121,28.575000000000003,31.476,6,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,Agree,Agree,Strongly disagree,Somewhat agree,Agree,Neither agree nor disagree,21.139,342.554,343.951,4,,4242,,,,,,,,,,,19.303,49.919,52.691,7,,3.573,1426.784,1429.451,2,APPL2,16.146,56.782,84.237,9,I will let the AI agent play,I figure it's somewhat better now,,,,,,1.517,41.927,43.975,31,40,F,United Kingdom,,8-12 years,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",3,3,4. Neither agree nor disagree,4. Neither agree nor disagree,3,,,5752126418,,1,631610af8e747093cd90e00d,APPL2,APPL2
