StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q389_Browser,Q389_Version,Q389_Operating System,Q389_Resolution,Consent timing_First Click,Consent timing_Last Click,Consent timing_Page Submit,Consent timing_Click Count,Consent,prolific_id,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q118_First Click,Q118_Last Click,Q118_Page Submit,Q118_Click Count,Q110,Q160,Q163,Q165,Q178,Q164,Q179,Q608_First Click,Q608_Last Click,Q608_Page Submit,Q608_Click Count,Q609,Tutorial,Q613,Q653_First Click,Q653_Last Click,Q653_Page Submit,Q653_Click Count,Q655,Q657,Q614_First Click,Q614_Last Click,Q614_Page Submit,Q614_Click Count,Q615,Q171,Q593_First Click,Q593_Last Click,Q593_Page Submit,Q593_Click Count,Q594,Q175,Q176,Demographics timing_First Click,Demographics timing_Last Click,Demographics timing_Page Submit,Demographics timing_Click Count,age,gender,country,country_3_TEXT,education,education_6_TEXT,ai,AI_1,AI_2,AI_3,AI_4,AI_5,comments,Q261,Random_ID,AWSURL,group,ProlificID,Q171,report a problem
09/07/2025 2:02,09/07/2025 2:02,1,,100,6,1,09/07/2025 2:02,R_4RmRXdSFB5QILwl,,,,,32.0804,34.7807,preview,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,3.81,3.81,5.044,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9385585370,,4,,,
09/07/2025 2:11,09/07/2025 2:11,0,77.137.71.85,6,5,0,09/07/2025 3:11,R_4oqiS5JgjG5Q30R,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.259,1.259,1.906,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717302352,,4,,,
09/07/2025 2:11,09/07/2025 2:50,0,77.137.71.85,67,2357,0,09/07/2025 3:11,R_4gwi2Q2j29AOZt0,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,0.786,1.039,1.724,2,1,7.78E+49,0,0,2.646,0,0,0,1.743,0,,2,2,4,2,1,1,4.4,4.4,7.571,1,,1997,,,,,,,,0,0,4.626,0,,APPL,,,,,,,,,,,,,,,,,,,,,,,,,,1782508540,,4,77777777777777777777777777777777777777777777777777<h4><b>Please record your participant ID in prolific academic:</b></h4>,APPL,
13/07/2025 0:29,13/07/2025 1:05,0,5.29.9.194,100,2171,1,13/07/2025 1:05,R_4esL9vNBo3aKcGA,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,7.334,8.496,9.956,2,1,6.67E+44,0,0,100.589,0,0,0,456.322,0,,2,2,4,2,1,1,2.207,421.816,425.698,2,,1997,,,,,,,,0,0,11.826,0,,APPL,3.89,6.355,15.207,2,2,,,2.688,70.81,76.962,20,27,0,5,,4,,5,7,7,7,7,7,7.88E+31,,3141804100,,4,666666666666666666666666666666666666666666666<h4><b>Please record your participant ID in prolific academic:</b></h4>,APPL,
13/07/2025 1:05,13/07/2025 1:07,0,5.29.9.194,67,135,0,13/07/2025 2:05,R_4aXrvRzSeV68XFr,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,5.099,5.099,6.1,1,1,4.44E+45,0,0,2.554,0,0,0,1.778,0,,2,2,4,2,1,1,1.256,24.318,27.505,4,,1997,,,,,,,,0,0,26.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663120974,,4,4.44E+45,,
13/07/2025 1:21,13/07/2025 1:43,0,5.29.9.194,67,1358,0,13/07/2025 2:21,R_97KiaRRG1u5qbOB,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,0.898,0.898,1.562,1,1,4.44E+43,0,0,1.875,0,0,0,1.676,0,,2,2,4,2,1,1,1.221,9.758,15.68,2,,4242,,,,,,,,0,0,2.131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156965980,,4,4.44E+43,,
13/07/2025 1:44,13/07/2025 1:45,0,5.29.9.194,67,70,0,13/07/2025 2:44,R_495pb9sJaFLCJCD,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,0.984,0.984,1.622,1,1,3.33E+42,2.839,2.839,3.465,1,0,0,1.216,0,,2,2,4,2,1,1,1.155,4.571,10.144,2,,4242,,,,,,,,0,0,2.784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8164389461,,4,3.33E+42,,
15/07/2025 2:12,15/07/2025 3:12,0,147.235.220.165,21,3587,0,15/07/2025 3:12,R_1xIYS4zppm5Xv06,,,,,32.7966,35.1668,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1280x800,6.906,6.906,8.152,1,1,1.11E+26,0,0,5.595,0,0,0,4.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629133477,,0,1.11E+26,,
15/07/2025 2:15,15/07/2025 2:16,0,5.29.9.194,8,14,0,15/07/2025 3:16,R_4CeFJ0VKDAhYlHm,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.038,1.038,1.738,1,1,8.89E+37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459880061,,3,8.89E+37,,
15/07/2025 2:30,15/07/2025 2:38,0,132.68.162.17,48,460,0,15/07/2025 3:30,R_2ek9vc63RNCUMqO,,,,,32.8259,34.9968,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,2560x1080,55.186,63.105,63.976,5,1,1.23E+33,8.103,11.463,14.69,2,0,0,15.732,0,,2,2,4,2,1,1,5.234,278.041,280.623,28,,4242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261338072,,0,1.23E+33,,
15/07/2025 2:43,15/07/2025 2:44,0,132.68.162.17,19,61,0,15/07/2025 3:43,R_2PTyvsOQQKCkTUX,,,,,32.8259,34.9968,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,2560x1080,3.138,11.256,12,3,1,13613213215846548dasdasdasd,0,0,11.741,0,0,0,11.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6840638801,,1,13613213215846548dasdasdasd,,
15/07/2025 7:12,15/07/2025 7:12,1,,100,4,1,15/07/2025 7:12,R_4iJV9Y5KsrDaG7p,,,,,32.3154,34.9339,preview,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,2.292,2.292,2.974,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6817878262,,3,,,
19/07/2025 10:02,19/07/2025 10:03,0,5.29.14.10,6,65,0,19/07/2025 11:02,R_4G1y1zUKCymcb8R,,,,,32.0821,34.8122,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,54.314,54.314,55.476,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2929711394,,2,,,
20/07/2025 0:22,20/07/2025 1:04,0,5.29.14.10,100,2511,1,20/07/2025 1:04,R_4OHm5Jy7Zhe9oEl,,,,,32.0821,34.8122,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.112,1.112,2.181,1,1,9.90E+32,0,0,3.069,0,0,0,1.863,0,,2,2,4,2,1,1,9.822,88.975,91.938,2,,4242,,,,,,,,0,0,21.884,0,,APPL,2.251,2.251,4.227,1,1,,,2069.111,2110.734,2111.186,12,22,0,3,,3,,5,7,7,7,3,7,,,8233087743,,1,9.90E+32,APPL,
20/07/2025 1:13,20/07/2025 2:13,0,5.29.14.10,53,3546,0,20/07/2025 2:14,R_9sYk5o0lgbnOfW4,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.055,1.055,2.531,1,1,5.56E+46,0,0,2.628,0,1.414,1.692,2.06,2,,2,2,4,2,1,1,1.162,1.162,5.625,1,,4242,,0,0,2.724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8555776389,,0,5.56E+46,,
20/07/2025 2:27,20/07/2025 3:27,0,5.29.14.10,69,3599,0,20/07/2025 3:27,R_9lhKvR09Kc4tfGJ,,,,,32.0804,34.7807,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.132,1.132,1.875,1,1,4.44E+47,0,0,3.222,0,0,0,2.236,0,,2,2,4,2,1,1,13.478,42.883,47.535,2,,4242,,,,,,,,0,0,8.138,0,,APPL,,,,,,,,,,,,,,,,,,,,,,,,,,8373334840,,2,4.44E+47,APPL,
21/07/2025 6:15,21/07/2025 6:15,0,174.99.58.224,100,9,1,21/07/2025 6:15,R_7Uf4VZWShN49C6f,,,,,35.8964,-78.7115,anonymous,EN,Safari iPhone,18.5,iPhone,390x844,1.916,3.684,4.423,4,1,67e8aa454848956e5e32c19d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578277622,,2,67e8aa454848956e5e32c19d,,I reafuse
21/07/2025 6:09,21/07/2025 6:27,0,94.6.165.242,100,1041,1,21/07/2025 6:27,R_8h5f6C3n3UKhVBc,,,,,53.7644,-1.7336,anonymous,EN,Chrome,138.0.0.0,Macintosh,1800x1169,6.626,6.626,9.152,1,1,60f5d1dfd8ff71196982160b,0,0,69.244,0,0,0,24.9,0,,2,2,4,2,1,1,22.66,134.953,137.931,2,,4242,,,,,,,,0,0,123.512,0,,APPL,10.401,29.383,34.55,6,1,The agent did not seem at all well trained for the task.,,1.303,23.959,24.813,10,52,0,2,,2,,5,7,7,7,6,4,,,6777226117,,2,60f5d1dfd8ff71196982160b,APPL,
21/07/2025 6:12,21/07/2025 6:28,0,51.19.7.140,100,945,1,21/07/2025 6:28,R_8DZeo7GJ3S4YKpi,,,,,51.5571,-0.2972,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1280x720,2.501,2.501,8.849,1,1,66796f6a50ac90662e958273,0,0,71.59,0,0,0,28.922,0,,2,2,4,2,1,1,7.279,67.417,252.213,3,,4242,,,,,,,,0,0,47.501,0,,APPL,2.823,4.401,12.452,2,1,just more engaged,,1.251,23.305,24.298,10,22,0,2,,3,,3,7,6,7,2,6,,,2552886595,,4,66796f6a50ac90662e958273,APPL,
21/07/2025 6:09,21/07/2025 6:31,0,90.243.254.7,100,1303,1,21/07/2025 6:31,R_8Pc1RedCUgNjmVh,,,,,51.2835,0.5144,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1536x864,26.288,26.825,27.584,2,1,571a78f06a1c6300114b8d80,19.229,50.487,50.915,9,10.676,15.356,16.873,5,,2,2,4,2,1,1,7.318,284.747,286.725,5,,4242,,,,,,,,3.865,34.258,38.019,8,,APPL,8.886,46.075,46.753,7,1,"The agent made too many mistakes, picking up red balls, going through lava, and taking too many unnecessary steps. ",n/a,1.169,32.421,36.107,23,42,1,2,,3,,6,6,6,7,2,6,n/a,,9937885545,,4,571a78f06a1c6300114b8d80,APPL,
21/07/2025 6:15,21/07/2025 6:33,0,185.49.75.138,100,1077,1,21/07/2025 6:33,R_2SBraQDSGdMM4Lv,,,,,51.2738,0.4977,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1920x1080,1.178,1.178,2.014,1,1,673741d5e8999c8a575d36b1,0,0,47.793,0,0,0,17.159,0,,2,2,4,2,1,1,43.68,213.759,215.898,2,,4242,,,,,,,,0,0,25.107,0,,APPL,5.586,21.963,23.893,3,1,It was easier to follow the instructions that tell the agent,No,1.027,26.468,27.063,10,43,1,2,,2,,4,5,6,6,4,4,,,6836458484,,4,673741d5e8999c8a575d36b1,APPL,
